ID,status,Facility Name,Company,City,State,"Affected Population (25 mi), statsamerica.org",Port,Maximum Capacity - via SELC,Yearly Acres,Open Year,Potential Acres Impacted,Potential Pellets Produced,Operating Year,Edition added,Lat,50 lossyr,75 lossyr,zipcode,zipW,zipN,zipE,zipS
11,Operating,Enviva Greenwood,Enviva,Greenwood,SC,"171,103",Wilmington,"600,000","14,400",2018,"86,400","3,600,000",2018-01-01,07-2021,34.2290,"[23868.67284805351,24833.608929780996,19348.15957190209,23784.853183339532,26850.82305962515,23088.663566102034,25324.122040501494,25715.256450757428,15382.437827290922,19846.325290113764,17685.903908250206,22428.33836542993,20517.50420069319,22425.19150278507,24209.61612177167,32319.899074755413,38413.71070491163,28624.00017909057,24979.81497304482,23034.461537448416,18573.60206042734]
","[48679.23154962498,51778.037139970664,42974.1188255756,49223.845676103985,57464.662262984166,48718.88128113155,50822.16826740627,50746.57863895941,30684.890877609818,44480.272470103744,36316.0971024776,42792.553176524954,44512.89405074159,51302.059845963704,54827.06372915203,70821.14759785126,75843.71626119854,57966.98043144218,51091.67477437225,49514.7748279964,41566.22892023287]
",29646,29620,29649,29666,29848
12,Operating,Enviva Ahoskie,Enviva,Ahoskie,NC,"66,278",Chesapeake,"600,000","14,400",2011,"187,200","7,800,000",2011-01-01,07-2021,36.2690,"[21875.701466135157,19766.380348291306,15387.829505851185,22326.05552270797,24504.21023672828,24374.693652354978,23493.330251329848,24667.396311944194,18198.04923453051,20654.282795222145,13785.850655376697,17611.259335833834,20411.652790887307,24873.08407109401,23682.914007981915,24996.807683487572,28245.96600624026,24061.236251457925,22576.367725150867,20785.650288067456,19335.432177981293]","[38470.968026847186,35312.03314699631,31345.261974116696,39442.303312443735,46832.179469147115,44209.56921097572,42803.053506833836,53010.02454395835,35576.07412860433,39814.72157684566,31041.66600193692,36290.19564719281,42144.23692119129,48173.21091216369,48294.15518564994,54395.74811020689,55092.94904597361,47821.81507466175,45346.583591629365,39377.119128207836,39390.57010112987]
",27910,27897,27855,27922,27924
13,Operating,Enviva Amory,Enviva,Amory,MS,"83,118",Mobile,"120,000","2,880",2010,"40,320","1,680,000",2010-01-01,07-2021,33.9883,"[26258.081652680256,23638.411019406645,18941.26588935286,20561.96770539077,26554.131786051552,23520.789369641614,24641.3710947712,24047.19406109286,18057.30884379524,22056.275116372046,20711.142663488314,22446.52796006281,24743.789322187236,25203.02158827797,24245.765477425226,27658.02296200043,26142.584227735617,23189.05793344415,22357.300919234378,19438.730627905108,15990.674559703511]","[61149.55078214924,49068.248506588185,40202.40194232284,47368.29937486487,60981.69685647702,52247.65216426428,53904.517832382044,51532.12092883128,40480.94445279789,51892.357615918925,48375.88564762827,53361.90665148011,55208.28492628811,55825.25383567679,52708.22471525126,63427.090144460046,62688.61843504902,51609.50986795171,48711.46003277245,42231.80390430142,37076.082878911904]
",38821,38858,38870,38848,39730
14,Operating,Fram Hazlehurst,Fram,Hazlehurst,GA,"72,977",Brunswick,"500,000","12,000",2021,"36,000","1,500,000",2021-01-01,07-2021,31.8543,"[29614.7415156559,25806.847280763774,20909.707286580186,32896.630650515115,32712.79171390007,35601.84474863906,33828.77289512528,30373.56205569918,24460.121871161635,32936.3271172965,38188.99405649517,47151.09057721215,45237.98213058853,40973.34199518425,37843.69850470124,46171.832392208344,43489.470399322985,39131.29838392836,37841.12479948238,29536.775148639303,32213.642077112032]","[68721.56875930447,65305.37221617877,48113.57399325828,69973.6747976799,67955.6595251395,75478.75036875703,95059.98482479823,70780.3191938315,53317.612216551424,69697.65688986746,88409.68119546513,91354.9558401962,82809.03871195386,85515.01338561489,84233.96014137926,99876.73627690326,95322.94545314087,79267.67951350274,75220.41821750137,62891.30691265067,60108.307647531234]
",31539,31544,31549,31513,31567
15,Operating,Fram Appling,Fram,Baxley,GA,"67,491",Brunswick,"200,000","4,800",2009,"72,000","3,000,000",2009-01-01,07-2021,31.8167,"[30561.56923105687,26717.013791814734,22106.09707534108,33877.015034048236,32332.33139698623,36027.076435211,37801.81819124617,31442.727487622906,24975.219413125284,33927.59554076727,39656.13717058939,47170.68671713966,46495.60237787533,42467.849918079475,38871.80309738622,46105.73231743076,43845.45906486209,38537.51822012648,37415.35893344416,30393.613878209686,32196.121388917785]","[69458.95261711911,66382.53635283979,47764.886510775694,70360.34963037017,68521.44137476722,75718.41992166197,97300.62482747393,70899.27583733159,53490.42275528602,70153.1953345516,90529.59310706794,91871.80268492327,83411.74694713575,85895.98295748122,83069.83047042467,99822.77538074428,95179.60484390653,79689.47572830533,75060.29418073932,62271.05387014998,60085.111470335076]
",31513,31539,30453,31563,31510
16,Operating,Fram Archer,Fram,Nahunta,GA,"74,110",Brunswick,"136,000","3,264",2018,"19,584","816,000",2018-01-01,07-2021,31.2103,"[35541.24373846512,30780.746636944026,24777.712076231306,31465.82081689836,27956.003528503585,33318.066446034485,59105.495843862365,32452.96989216661,23305.86558689046,32103.5150101209,58094.17981229409,39464.78526420861,37054.81859391786,40984.695372711285,37994.671818027666,47046.157211241305,70632.6791801909,32094.208024685442,30428.879860628283,25008.17483875986,24355.694386230494]","[64424.645485045396,58952.846750285185,46145.19070661805,63891.462742177704,54406.652440118385,62982.01252534157,90753.41497991719,56035.20175922215,43111.3604567871,59728.16770966768,84451.05582600994,83731.53706180684,71729.80041994803,73612.00273754238,70875.97693406096,84457.59921612166,111407.23084999919,60005.286116685376,60863.25012546303,47910.37226280575,44224.200403960946]
",31553,31542,31557,31566,31537
17,Operating,Fram Telfair,Fram,Lumber City,GA,"63,169",Brunswick,"136,000","3,264",2012,"39,168","1,632,000",2012-01-01,07-2021,31.9227,"[27628.064494756527,23457.850107358663,19859.704126113018,31630.657424539484,32528.868808523326,35400.711150469586,32385.92295116579,29882.694006893027,24164.854520654346,32527.359242829407,34038.16825976459,45639.611799336606,43104.56435562744,39198.03341437988,34852.49426689247,45148.855700612374,42620.3679277348,38722.531865482946,37045.11976721061,29601.758316264724,32476.389126845752]","[66608.31009269535,62507.53503960356,46618.95539379533,65718.22430335994,64956.24472548329,73990.34385288086,86701.81767350649,69029.47039352541,51986.51462787176,65760.54455866148,80153.54513949604,87735.39344342562,79826.00937455104,82401.40084104346,82173.34011250646,97113.03444244746,92778.34874762426,78268.61576953338,73984.69972536998,62435.441251544114,59020.41216957439]
",31549,31544,31055,30473,31539
18,Operating,Highland Pine Bluff,Highland,Pine Bluff,AR,"86,412",Baton Rouge,"750,000","18,000",2016,"144,000","6,000,000",2016-01-01,07-2021,34.2655,"[27184.973929742955,26662.574283128255,14991.820453779179,29916.274618350493,22632.13933190499,30276.104267539704,25194.880834986736,20693.929865041624,21747.765404252837,25611.731836973348,19780.20337999011,21090.962972419147,23548.21786008514,23797.41876276066,21106.555111235066,24145.172134091175,22870.49367532166,23606.898461781457,18474.906434357003,13466.311409245103,14004.371231457519]","[51407.40313921356,47318.10540344035,35309.36433475513,56131.697800852344,47577.36674442494,58668.31794735808,50000.47912182036,44403.44779719473,43784.815540236836,53734.997777358316,41113.95350815374,43715.85361826922,45371.40921067875,48636.584416084756,43687.45099315155,53806.40294780699,56000.16561251714,48078.935604055936,38237.530661846424,30750.484841450536,30807.921703918964]
",71602,72150,72079,72004,71603
19,Operating,Pinnacle - Aliceville,Drax,Aliceville,AL,"76,951",Mobile,"516,000","12,384",2011,"160,992","6,708,000",2011-01-01,07-2021,33.0764,"[29483.810447188218,25801.98233042825,23625.823105274132,25483.781251046647,32813.54981403166,28783.246111469365,31820.056995596617,31200.290801376974,22080.185828375048,26026.32737292799,30209.023956951518,31413.974213676327,32072.799431144726,34022.70267379052,32539.08511333429,35393.26563010436,34404.620422753906,27321.841469574665,27089.68522100737,20741.97159284443,19344.678200611932]","[74010.9801728524,61974.189894561765,58275.45596019201,61595.19099225409,76140.24653063051,67128.72136683505,73015.36258575287,73419.4436118321,54215.68155395651,67301.81583224724,71046.10840764304,73980.57716545879,73675.60918381956,81378.39574767153,73793.86370729697,81945.44982881761,80390.4594200925,67936.5716681007,65539.6982346223,54281.753840633835,48959.37114023511]
",35442,39341,35447,35462,35477
20,Operating,Alabama Pellets Demopolis,Drax?,Demopolis,AL,"18,996",Mobile,"443,000","10,632",2022,"21,264","886,000",2022-01-01,12-2021,32.4664,"[34849.36587364607,28177.084951314337,31757.99628848539,31435.174607567595,36973.97337384728,36123.309838753805,41129.75453705306,42746.59327665141,29322.803859927863,32643.97337133785,35688.16182697975,39630.55224165038,34540.78945951612,41675.006774125686,39717.63968011492,43071.489556539746,43017.20301490132,33575.40896680751,32408.809874207454,26273.014361155027,24198.74309969593]","[77180.70448278956,67492.02274858917,65621.45302949811,74037.46429242419,82964.51701707994,73621.82521030976,86526.42834356625,90681.82327928253,62384.080841795396,73361.72510766532,75010.62195380164,82326.7045229192,75740.85335208346,86118.9812936593,82794.42250433001,96215.00678197182,94462.81242734406,76042.69454701844,74065.71798764664,62232.16665313047,56905.40977578823]
",36732,35470,36740,36742,36748
21,Operating,MRE Quitman,MRE,Quitman,MS,"71,962",Mobile,"360,000","8,640",2021,"25,920","1,080,000",2021-01-01,12-2021,32.0457,"[35630.48802898899,28999.68221503851,32271.20956590188,34665.3528453843,41046.14442795989,30794.730115287686,39777.137982283,39116.187307333574,29499.257211137283,37570.89975333467,31165.151821683205,38674.436437200835,36848.625840862864,43895.87509117666,42163.3121160971,50474.567541742894,48877.77043215489,37808.89714347828,35503.08721028835,31043.200186321414,26316.60557491697]
","[76992.5697546082,62717.928881022824,65952.34890406612,74101.13294637365,89078.78723137733,70893.02372989168,82281.20798330664,86715.37212914338,57073.1493409358,75821.43142833083,69180.85919502671,77058.93897466625,74699.6093242311,88605.61035674324,83689.29295343276,98308.78418078969,99879.91068161378,80612.68210480546,71727.89414923855,64429.59071308821,56404.08710491427]
",39355,39347,39301,36904,39360
22,Operating,MRE Jasper,MRE,Jasper,TN,"444,356",Mobile,"240,000","5,760",2017,"40,320","1,680,000",2017-01-01,07-2021,35.0713,"[15736.339177769993,11651.822117405767,7300.974315354747,15012.592316005715,11545.086882508043,10702.345399115131,11081.271989432877,13824.817899791618,6127.265568501263,8292.134643810079,9767.161861973229,7320.589452011886,5907.714892198893,7093.396188814793,7608.4321228885665,11785.787537279435,10990.411406411418,7029.4052789334655,7064.52360769694,6236.397738960105,6120.063976052032]","[31537.99979015826,23873.13454399843,16528.584550795564,29962.299534222842,23856.350729463175,23888.378180074604,24756.552717385377,27284.946906032455,14014.534671929356,18633.19978725119,21267.71772139718,17308.194576622984,14053.007397934403,15877.509483478045,19460.290043300185,27149.3262410113,27670.162850931418,16780.083361527293,16995.216849592336,14879.869536320704,15511.6340972049]
",37347,37380,37374,37340,30752
23,Operating,MRE Crossville,MRE,Crossville,AL,"149,582",Mobile,"120,000","2,880",2018,"17,280","720,000",2018-01-01,07-2021,34.2760,"[14792.147161335235,13739.315373064086,9435.766192807498,17927.57259273658,13958.869400688189,14740.232810772082,13578.278822976672,15049.222898057451,8078.7168850070375,11522.126454783529,15352.383445350963,11577.022663644922,10939.670064623546,12334.888866125226,12370.952950294213,19484.474252180247,21518.8579785572,12919.50586151013,11449.191478946055,9570.405468753686,8416.538157934523]","[34574.29150154775,29795.413529250705,23932.371285841018,37294.878865009036,30194.321974844228,31868.534452505202,31212.404873281397,34135.39929835143,19810.58522192335,26500.119975694604,29216.72381773237,27111.855062245988,25040.386348021246,28508.359374156724,29590.56746913675,40248.95572615751,44037.45225921876,28740.651555414246,27638.990292719747,21948.68159539398,21635.26915586569]
",35962,35951,35974,35961,35956
24,Operating,Woodville Pellets,Woodville,Woodville,TX,"53,052",Port Arthur,"500,000","12,000",2014,"120,000","5,000,000",2014-01-01,07-2021,30.7424,"[33621.88845482255,30877.05480937799,27121.347907593732,40365.84864555286,44099.85686411823,38421.482003984645,38368.04228505065,41596.72929918494,36674.213824242644,41612.31634463465,58057.969418487075,35867.61777572711,36525.679321769276,35758.891340173024,31835.220372943597,36367.20494842634,34742.06202219837,24656.16973246553,19486.456396953985,27830.292006395364,20056.73400621819]
","[62008.047789040575,55153.71210344131,49712.90885395187,71958.36916324554,75088.601583859,65449.993715451106,72522.49304395562,73386.20330414253,61834.84396524608,72509.74491545073,88207.4073367214,64655.626062316536,67879.00024385551,67901.0891027674,60283.7290258458,68399.50558890558,64527.16708440728,48919.284848817544,43147.92783202962,55723.00023374593,41479.66932172442]
",75979,77351,75938,75956,77624
25,Operating,LJR Forest Products,LJR,Swainsboro,GA,"49,219",Savannah,"238,000","5,712",2016,"45,696","1,904,000",2016-01-01,09-2022,32.5301,"[26523.449115071347,33283.97906365053,20057.799414706886,32880.84889626725,33416.03144340742,31062.880482262302,31548.579149896734,32671.226867167657,22432.414235996188,32724.305065197295,26496.70836550515,37244.72513805228,34602.193503247836,36870.666343394296,34679.72761572507,44772.33904048007,39965.434938618404,37016.12428187954,36678.420535311154,30619.87199031461,29190.241831412328]","[61329.88284697643,68191.67808589204,48854.72357438336,68088.89878533514,72830.78889334739,71451.59455169317,69260.32035363949,71654.29910432061,50874.438652833494,69215.09673176742,63548.92274694371,84741.65617674691,77233.3676198305,85907.11592709135,79952.8426884736,97627.41667638968,92240.73006659446,83480.34347602184,79631.72244127434,66620.25265401996,63966.49845065731]
",30401,31049,30441,30471,30457
